https://youtu.be/7OPrS6AkQ_Q, 01 - Main Theme
https://youtu.be/6KmFkwApCXY, 02 - Grassland Medley
https://youtu.be/PBpe6VjIUkE, 03 - Mystique Forest
https://youtu.be/j8TzYe505O4, 04 - Dark Rooms
https://youtu.be/egakkaq8_Bc, 05 - Perilous Climb
https://youtu.be/Vj5Pon4Hfro, 06 - Static
https://youtu.be/zfWc3m4MILM, 07 - Part 1 Theme
https://youtu.be/LF1RSF8dW_Q, 08 - Troubling Tumbleweeds
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
https://youtu.be/n-bEVd0tsYw, 15 - Part 2 Theme
https://youtu.be/t_Q1dz_cfhg, 16 - The Master Star
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
NO LINK, Coming Soon
